key,lat,lon,FFMC,DMC,DC,ISI,BUI,FWI
"35.02551,33.77443",35.02551,33.77443,85.06404020507537,6.01737449536,30.08,2.2448189353487558,8.022555013501723,1.2509249803766167
"34.91488,33.01567",34.91488,33.01567,86.82582740602544,6.02655308452,28.46,3.383043264690749,7.88099952680241,2.5809933922866852
"35.02597,32.32894",35.02597,32.32894,84.00832090412506,6.007122387,28.892,5.693542279690244,7.9051945765272515,4.748754730501479
"35.13305,33.02202",35.13305,33.02202,85.15691268117598,6.01348918164,29.323999999999998,2.7758896389141436,7.950793909549577,1.932621879887136
"35.14096,33.39658",35.14096,33.39658,85.32008887761707,6.01460399004,30.044,3.864839318005921,8.016890774596424,3.0911589341882433
"35.05023,33.54230",35.05023,33.5423,84.74976299281701,6.01075170768,29.54,2.721965209610712,7.96814173872912,1.8726423192099377
"34.68437,32.75737",34.68437,32.75737,85.1611357309146,6.01384839768,29.9,2.4023103088093207,8.003364136701522,1.480101759626984
"34.97101,34.07079",34.97101,34.07079,85.29278068287168,6.01454824962,30.008,3.21148774697022,8.013634616895544,2.4228212255038795
"34.94296,32.86553",34.94296,32.86553,85.64063075988354,6.01739926888,26.804000000000002,3.250454047345678,7.708483280397003,2.414000696254572
"34.86126,33.38253",34.86126,33.38253,85.09651547607099,6.01298751786,29.0,2.338194149800234,7.920366165306929,1.3775728361210275
"34.84726,33.14337",34.84726,33.14337,86.43211016508126,6.026631534,28.352,2.5735883023865895,7.870688623478969,1.6801469066842631
"34.92094,33.13424",34.92094,33.13424,87.71386893900726,6.03161101152,28.964,3.9101136750729455,7.933132263149338,3.120524510970398
"35.04240,33.91761",35.0424,33.91761,85.12529753969865,6.013522213,30.044,2.8144037333601797,8.015929756256355,1.986708259100317
"35.00534,32.82627",35.00534,32.82627,85.52825999629145,6.01970733516,28.604,2.5277110296114476,7.888880496746736,1.6258479936306984
"35.07215,32.77403",35.07215,32.77403,87.22828728695313,6.03047762298,29.936,3.852098750889127,8.021309864659809,3.0793674139805174
"34.92979,32.58597",34.92979,32.58597,84.9585963811198,6.011251307,28.46,2.095316781747414,7.86790413857561,0.9726642667863874
"34.84389,32.84447",34.84389,32.84447,87.50169566124347,6.02888592432,28.244,4.078739590739262,7.862176082579154,3.2712758369795525
"34.72291,32.92244",34.72291,32.92244,85.68305264039753,6.0208097568,29.684,4.2922885474319,7.990058090312732,3.5000761252224772
"35.18156,32.68710",35.18156,32.6871,84.81315295294867,6.01099118504,29.323999999999998,2.5075732888700117,7.948610219881115,1.6094699341969252
"34.94917,32.98250",34.94917,32.9825,86.72658316959118,6.02521324998,28.064,3.4589611768006767,7.841558873189138,2.65252777478341
"34.87348,33.61734",34.87348,33.61734,85.0830124940813,6.013212544,29.828,2.333848272066742,7.996343299069287,1.3834658439754246
"34.71544,32.47907",34.71544,32.47907,85.51973120198707,6.016722126,30.332,2.5247130659375756,8.044254355516653,1.6454777099841589
"34.89584,33.29288",34.89584,33.29288,86.61135749184531,6.02604109844,29.18,3.725995855288206,7.948444837007102,2.9411120270657762
"35.16437,33.35607",35.16437,33.35607,85.03555014876873,6.012696429,29.468,2.404315265212359,7.963288508629689,1.476643914935707
"34.64572,33.00398",34.64572,33.00398,84.97671575861584,6.01243630704,29.648,3.686014713035642,7.979424314982448,2.9065421843594477
"35.06778,32.89821",35.06778,32.89821,84.92126831427188,6.0116435544,29.072,2.4101877015878017,7.925900541656934,1.47879841544224
"35.01187,32.52802",35.01187,32.52802,85.42212603788302,6.01382775308,27.704,4.499374566348351,7.796568133561481,3.656544661156354
"34.81586,32.78518",34.81586,32.78518,84.37332916945626,6.003922474,27.451999999999998,2.0803783301080045,7.763196837574374,0.9608642483071047
"35.17236,33.21488",35.17236,33.21488,85.01775889824415,6.01278313632,29.9,5.045890880281875,8.0024207448497,4.199552959541564
"34.96110,33.33100",34.9611,33.331,84.50019814118926,6.0065959497,28.28,2.078348512591906,7.846665350519951,0.963804180844579
"34.77943,32.43855",34.77943,32.43855,85.20515032625337,6.013935105,29.612000000000002,2.794440762203319,7.977480836005183,1.9580117688442573
"34.73884,33.15902",34.73884,33.15902,85.05088812304137,6.01266752656,29.108,2.2652803593798767,7.930133190676262,1.2682800572711217
"34.70764,33.26170",34.70764,33.2617,85.16551452127915,6.01358001788,29.72,3.8523589528456856,7.986941842805017,3.0734474294722025
"34.94778,32.92582",34.94778,32.92582,85.84453877777547,6.02018216096,27.38,2.5476856009563473,7.76954128793298,1.632593610513588
"35.04195,32.43723",35.04195,32.43723,85.3554775053805,6.01520681236,29.756,2.558945397355276,7.991625032205708,1.6803122568630404
"34.94991,32.83060",34.94991,32.8306,87.17286870801456,6.02801059328,28.244,3.4276509864817606,7.861431735182116,2.623747334475719
"35.14154,32.61632",35.14154,32.61632,84.45834894936982,6.00936439056,28.387999999999998,6.768547190866826,7.859400672423845,5.638242205625655
"35.01729,33.24918",35.01729,33.24918,84.55357099521181,6.0075972128,28.892,2.09345216601313,7.905605711801868,0.9735534467214437
"34.67696,33.03755",34.67696,33.03755,85.3009339336889,6.01478772698,29.503999999999998,2.4491895347411217,7.96840750465361,1.5371955923787912
"34.98935,32.68176",34.98935,32.68176,86.79935134882435,6.02480861582,27.704,3.552398064780716,7.805790292115927,2.7415604663313093
"34.92454,32.88150",34.92454,32.8815,86.11459549470986,6.02082833694,26.984,2.694543659977909,7.729839091937554,1.8040795589277137
"35.14448,33.40339",35.14448,33.40339,85.24770606098004,6.01427780536,30.188000000000002,3.3822682271770073,8.029375765590055,2.6049196866530284
"35.01409,33.04920",35.01409,33.0492,85.08004633050616,6.0163505232,28.532,2.7666292543578574,7.879145361196956,1.9110169738378997
"34.97781,33.83799",34.97781,33.83799,85.2301406858404,6.01410232626,29.72,2.9609403525939166,7.987402501404608,2.147077598344477
"34.74133,33.32710",34.74133,33.3271,84.73400284417313,6.00958115886,28.567999999999998,2.1847858012630605,7.876761793238718,1.1079681282905813
